@relation target-classification

@attribute class {human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
dog,1.346,1.346,1.346,1.803,1.803,1.803,5.818,3.000,17.453,1.939,8619.000,0.262,0.143,4657.587,-73.600,100.000,0.449,0.601
dog,1.168,1.168,1.168,1.522,1.522,1.522,5.058,3.000,15.174,1.686,3061.000,0.112,0.024,964.146,137.800,18.000,0.167,0.462
dog,1.615,1.615,1.615,2.372,2.372,2.372,5.723,3.000,17.168,1.908,6112.563,0.192,0.087,2119.239,-51.100,58.000,0.614,0.713
dog,2.081,2.081,2.081,2.982,2.982,2.982,4.876,3.000,14.629,1.625,2226.125,0.104,0.042,425.478,-55.400,32.000,0.261,0.759
dog,1.405,1.306,1.306,1.995,1.504,1.504,6.141,4.000,24.564,1.535,1806.792,0.076,0.020,482.771,106.500,12.000,0.382,0.511
dog,2.569,2.569,2.569,3.619,3.619,3.619,4.943,3.000,14.829,1.648,3585.250,0.163,0.075,745.302,-26.800,42.000,0.924,0.819
dog,1.047,1.047,1.047,1.392,1.392,1.392,5.538,3.000,16.615,1.846,5752.875,0.185,0.067,1974.846,139.600,29.000,0.849,0.502
dog,2.227,2.179,2.179,3.066,2.826,2.826,6.679,4.000,26.718,1.670,3685.583,0.155,0.070,1792.065,-14.800,48.000,1.613,0.688
dog,2.019,1.955,1.955,2.725,2.548,2.548,7.023,4.000,28.090,1.756,4983.708,0.190,0.080,2128.483,142.500,40.000,0.468,0.600
dog,1.027,0.973,0.932,1.360,1.261,1.002,6.124,6.000,36.744,1.021,1314.615,0.130,0.059,363.461,55.300,43.000,0.651,0.411
dog,2.348,2.348,2.348,2.891,2.891,2.891,5.167,3.000,15.501,1.722,9955.688,0.503,0.326,3526.668,145.900,133.000,1.785,0.967
dog,0.862,0.862,0.862,0.915,0.915,0.915,6.463,3.000,19.390,2.154,12223.750,0.373,0.231,5222.685,-88.800,114.000,0.115,0.465
dog,3.838,3.700,3.314,4.556,4.450,3.858,7.731,5.000,38.655,1.546,4066.938,0.212,0.123,1750.330,107.300,81.000,0.339,0.737
dog,0.981,0.981,0.981,0.316,0.316,0.316,6.213,3.000,18.640,2.071,14062.063,0.496,0.293,5418.493,-13.800,140.000,0.210,0.590
dog,1.410,1.410,1.410,1.067,1.067,1.067,5.663,3.000,16.989,1.888,12448.125,0.465,0.242,5402.741,-31.600,105.000,0.987,0.730
dog,0.742,0.742,0.742,0.187,0.187,0.187,5.361,3.000,16.084,1.787,18050.000,0.749,0.538,7849.061,145.800,300.000,1.037,0.520
dog,3.405,3.395,2.686,4.185,4.121,3.023,8.527,6.000,51.162,1.421,10053.128,0.480,0.289,3354.793,126.200,148.000,0.257,0.754
dog,0.793,0.793,0.793,0.429,0.429,0.429,4.213,2.000,8.426,2.107,21027.250,0.948,0.805,3104.784,-25.300,199.000,0.682,0.639
