@relation target-classification

@attribute class {noise, human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@data 
dog,1.035,1.035,1.035,2.067,2.067,2.067,3.717,2.000,7.433,1.858,7318.625,0.234,0.085,2854.161,142.400,54.000
dog,1.053,1.053,1.053,1.922,1.922,1.922,4.013,2.000,8.026,2.006,11465.125,0.387,0.212,2408.753,145.100,43.000
dog,1.116,1.116,1.116,1.183,1.183,1.183,5.978,3.000,17.934,1.993,11793.063,0.369,0.199,5373.385,140.500,116.000
dog,1.082,1.082,1.082,1.090,1.090,1.090,5.533,3.000,16.600,1.844,10277.375,0.393,0.164,4469.238,-33.000,60.000
dog,0.988,0.988,0.988,0.937,0.937,0.937,5.446,3.000,16.338,1.815,9340.938,0.312,0.167,5702.817,-52.300,117.000
dog,1.124,1.124,1.124,1.328,1.328,1.328,6.201,3.000,18.603,2.067,10618.438,0.331,0.178,3951.469,145.100,106.000
dog,1.237,1.220,1.220,1.655,1.607,1.607,7.769,4.000,31.075,1.942,7165.458,0.219,0.108,4187.088,142.700,90.000
dog,0.722,0.722,0.722,0.814,0.814,0.814,4.112,2.000,8.224,2.056,15537.625,0.523,0.328,2516.496,-54.400,104.000
dog,1.380,1.380,1.380,1.754,1.754,1.754,5.813,3.000,17.438,1.938,9383.000,0.304,0.158,3723.729,140.100,78.000
dog,0.639,0.639,0.639,0.752,0.752,0.752,6.425,3.000,19.274,2.142,10448.750,0.304,0.162,3689.048,-98.400,101.000
dog,2.381,2.282,2.193,3.346,3.066,2.082,9.713,6.000,58.276,1.619,7700.103,0.360,0.191,3101.063,99.400,124.000
